epoch;train_loss;valid_loss;mae;time
218;1.343075;5.693304;5.693304;01:41
219;1.432912;5.740635;5.740635;01:40
220;1.418771;5.872808;5.872808;01:40
221;1.434852;5.823152;5.823152;01:40
222;1.408761;5.928750;5.928750;01:40
223;1.238603;5.899702;5.899702;01:40
224;1.360451;5.907397;5.907397;01:40
225;1.390028;5.844655;5.844655;01:41
226;1.334361;5.771435;5.771435;01:40
227;1.227314;5.781777;5.781777;01:40
228;1.268898;5.778745;5.778745;01:40
229;1.348969;5.883655;5.883655;01:40
230;1.426384;5.524301;5.524301;01:40
231;1.188907;5.653551;5.653551;01:41
232;1.216634;6.190309;6.190309;01:40
233;1.339076;5.731726;5.731726;01:40
234;1.259893;5.704458;5.704458;01:40
235;1.107891;5.987222;5.987222;01:40
236;1.222814;5.975078;5.975078;01:40
237;1.224870;5.867332;5.867332;01:40
238;1.146363;5.888902;5.888902;01:39
239;1.234236;6.012701;6.012701;01:40
240;1.115387;5.779867;5.779867;01:40
241;1.048352;5.837475;5.837475;01:40
242;1.146860;5.820118;5.820118;01:40
243;1.356697;5.804108;5.804108;01:40
244;1.148946;5.875327;5.875327;01:40
245;1.155047;5.942141;5.942141;01:40
246;1.124847;5.653486;5.653486;01:41
247;1.112237;5.841071;5.841071;01:40
248;1.119473;5.856283;5.856283;01:39
249;1.176365;5.899837;5.899837;01:40
250;1.127850;5.748259;5.748259;01:39
251;1.051740;5.839816;5.839816;01:40
252;0.999088;5.858548;5.858548;01:41
253;1.006155;5.927174;5.927174;01:40
254;1.038563;5.883223;5.883223;01:41
255;1.081236;5.727233;5.727233;01:40
256;1.041188;5.859539;5.859539;01:40
257;1.084902;5.893109;5.893109;01:40
258;0.951735;5.856139;5.856139;01:40
259;1.053559;5.917068;5.917068;01:40
260;1.042249;5.811065;5.811065;01:39
261;0.960068;5.783985;5.783985;01:40
262;1.013945;5.888779;5.888779;01:40
263;0.976307;5.852732;5.852732;01:39
264;1.011939;5.778025;5.778025;01:40
265;0.982116;5.800597;5.800597;01:40
266;0.926355;5.745949;5.745949;01:40
267;0.938281;5.889049;5.889049;01:40
268;0.875236;5.950076;5.950076;01:41
269;0.946274;5.802028;5.802028;01:40
270;0.855544;5.830818;5.830818;01:40
271;0.879127;5.777881;5.777881;01:40
272;0.850199;5.915479;5.915479;01:41
273;0.829591;5.725561;5.725561;01:40
274;0.851150;5.836524;5.836524;01:40
275;0.953803;5.812473;5.812473;01:40
276;0.826441;5.867157;5.867157;01:41
277;0.897205;5.823614;5.823614;01:40
278;0.896510;5.890761;5.890761;01:40
279;0.840532;5.891893;5.891893;01:40
280;0.867163;5.818600;5.818600;01:40
281;0.770254;5.709797;5.709797;01:41
282;0.795015;5.846637;5.846637;01:40
283;0.785202;5.912009;5.912009;01:39
284;0.792927;5.881880;5.881880;01:40
285;0.746272;5.725244;5.725244;01:39
286;0.759780;5.846690;5.846690;01:40
287;0.809845;5.870988;5.870988;01:40
288;0.747956;5.903525;5.903525;01:41
289;0.803514;5.782887;5.782887;01:40
290;0.744852;6.035991;6.035991;01:40
291;0.755307;5.884713;5.884713;01:40
292;0.739837;5.764135;5.764135;01:40
293;0.698028;5.889553;5.889553;01:40
294;0.761231;5.744344;5.744344;01:39
295;0.678141;5.780246;5.780246;01:40
296;0.677961;5.821646;5.821646;01:40
297;0.714617;5.785584;5.785584;01:40
298;0.659126;5.816145;5.816145;01:40
299;0.642648;5.840037;5.840037;01:40
300;0.667781;5.864837;5.864837;01:40
301;0.625665;5.774499;5.774499;01:40
302;0.631956;5.816568;5.816568;01:40
303;0.645903;5.851555;5.851555;01:41
304;0.620897;5.746668;5.746668;01:40
305;0.643421;5.746883;5.746883;01:40
306;0.628472;5.805564;5.805564;01:40
307;0.574129;5.691599;5.691599;01:40
308;0.610744;5.792924;5.792924;01:40
309;0.636125;5.789398;5.789398;01:39
310;0.580763;5.788395;5.788395;01:40
311;0.626904;5.698657;5.698657;01:40
312;0.587075;5.791891;5.791891;01:40
313;0.516669;5.754473;5.754473;01:40
314;0.541630;5.748134;5.748134;01:40
315;0.549558;5.781681;5.781681;01:40
